key,nl,en
HINTS_1.1,85 kg*100mg/kg = 850 mg,85 kg * 100 mg/kg = 850 mg
HINTS_1.2,"85 kg*100mg/kg = 850 mg\n850 mg / 300 m^3 = 2,83 mg/m^3","85 kg*100mg/kg = 850 mg\n850 mg / 300 m^3 = 2,83 mg/m^3"
HINTS_2.1,"Aha, toch te ingewikkeld? Jullie moeten eerst het volume van de lucht berekenen die op de sensor drukt (h × b × l), voor het geval jullie de formule even kwijt waren. Vervolgens gebruiken jullie de dichtheid en het gevonden volume om de massa van de lucht te bepalen. Als laatste vullen jullie die massa in de functieformule in om de y-waarde te vinden — dat is de spanning. ","Ah, still too complicated? You first need to calculate the volume of the air pressing on the sensor (h × w × l), in case you forgot the formula. Then you use the density and the calculated volume to determine the mass of the air. Finally, you substitute that mass into the function formula to find the y-value — that is the voltage."
HINTS_2.2,2.4V,2.4V
HINTS_2.3,"De vier draadjes moeten de drukshakelaar, En-poort, comparator en zoemer verbinden. Hoe? Zoek maar zelf uit. ","The four wires must connect the pressure switch, AND gate, comparator, and buzzer. How? Figure it out yourselves."
HINTS_2.4,uitwerking:,solution:
HINTS_3.1,80 eenheden bij 40 graden Celcius,80 units at 40 degrees Celsius
HINTS_3.2,Verschil 30 graden Celcius en 40 graden Celcius= 40 eeheden,Difference between 30 degrees Celsius and 40 degrees Celsius = 40 units
HINTS_3.3,"40 eenheden (van 30 graden Celius) + 0,7*40=68 (afgerond 70)",40 units (from 30 degrees Celsius) + 0.7 * 40 = 68 (rounded to 70)
HINTS_4.1,"De tegels waar je op mag staan, zijn de tegels waarvan het getal op de tegel een vermenigvuldiging is van 3 met een ander getal. De kleuren van de tegels zijn willekeurig.",The tiles you are allowed to stand on are the tiles whose number is a multiple of 3 times another number. The colors of the tiles are random.
HINTS_4.2,"Voorbeeld van een goede tegel is: 15, want 3*5","An example of a correct tile is 15, because 3 × 5"
HINTS_5.1,Je moet goed kijken naar de temperaturen en de eigenschappen van de genoemde eiwitten.,You need to carefully look at the temperatures and the properties of the mentioned proteins.
HINTS_5.2,"Antwoord van een actief eiwit: B, want wordt beschermd bij extreme hitte en bij vriespunten. Dus eerste deel code is 37.","Answer for an active protein: B, because it is protected at extreme heat and at freezing points. So the first part of the code is 37."
HINTS_5.3,377459,377459
